"IndivYr","AnimalID","VI95","VI50","Look","MigStatus"
"141110-14",141110,0.0277653675480775,0,"Migrant","Intermediate"
"140360-14",140360,0.0679502016497879,0,"Intermediate","Intermediate"
"140920-14",140920,0.375239178947381,0.140762154785523,"Resident","Resident"
"140900-14",140900,0.103499715421687,0,"Intermediate","Intermediate"
"141090-14",141090,0.649889003331448,0.209219332735596,"Resident","Resident"
"140100-14",140100,0.340505510446759,0.0330160766632954,"Intermediate","Resident"
"141160-14",141160,0,0,"Migrant","Migrant"
"141000-14",141000,0,0,"Intermediate","Migrant"
"140120-14",140120,0.0369568752564337,0,"Migrant","Intermediate"
"140040-14",140040,0.0491154945671427,0,"Migrant","Intermediate"
"140060-14",140060,0.00272568439954882,0,"Intermediate","Intermediate"
"140070-14",140070,0.671602567227348,0.264551067670805,"Resident","Resident"
"140290-14",140290,0.105414772764206,0.00854118609670585,"Intermediate","Resident"
"140300-14",140300,0,0,"Migrant","Migrant"
"140320-14",140320,0.0152514952577481,0,"Intermediate","Intermediate"
"140340-14",140340,0,0,"Migrant","Migrant"
"140400-14",140400,0.251280377151462,0.0169272810202229,"Resident","Resident"
"140560-14",140560,0,0,"Switch","Migrant"
"140600-14",140600,0.032563931451898,0,"Resident","Intermediate"
"140630-14",140630,0.194133078908017,0,"Resident","Intermediate"
"140650-14",140650,0.623359725030806,0.196826805523211,"Resident","Resident"
"140680-14",140680,0.0233887706899153,0,"Intermediate","Intermediate"
"140710-14",140710,0.218104308833388,0.0248799668118976,"Resident","Resident"
"140800-14",140800,0,0,"Switch","Migrant"
"140850-14",140850,0,0,"Migrant","Migrant"
"140890-14",140890,0.0285537516888567,0,"Intermediate","Intermediate"
"140940-14",140940,0.2707172919668,0.0153756529984334,"Resident","Resident"
"140960-14",140960,0.245799798333959,0.0113511849738838,"Resident","Resident"
"140980-14",140980,0.0308465593678734,0,"Intermediate","Intermediate"
"141010-14",141010,0.00829611330667198,0,"Intermediate","Intermediate"
"141060-14",141060,0.259212537869625,0,"Resident","Intermediate"
"141070-14",141070,0.064504728048975,0,"Resident","Intermediate"
"141080-14",141080,0.222803212062637,0,"Resident","Intermediate"
"141100-14",141100,0.307021210186631,0.00830038383136555,"Resident","Resident"
"141120-14",141120,0,0,"Migrant","Migrant"
"141130-14",141130,0.00577643703867647,0,"Resident","Intermediate"
"141150-14",141150,0,0,"Migrant","Migrant"
"141490-14",141490,0.103215751937478,0.00847605509634699,"Resident","Resident"
"140050-14",140050,0.192584141435337,0,"Intermediate","Intermediate"
"140380-14",140380,0.539894351514769,0.129077026701285,"Resident","Resident"
"140480-14",140480,0.398117445599122,0.0488011203604596,"Resident","Resident"
"140910-14",140910,0,0,"Intermediate","Migrant"
"140100-15",140100,0.060608786750739,0,"Intermediate","Intermediate"
"141160-15",141160,0,0,"Migrant","Migrant"
"151110-15",151110,0.363569000564961,0.171012862554575,"Resident","Resident"
"141000-15",141000,0.00790787502243446,0,"Intermediate","Intermediate"
"140120-15",140120,0,0,"Migrant","Migrant"
"140560-15",140560,0.0980063833409803,0,"Switch","Intermediate"
"141490-15",141490,0.155397279779592,0,"Resident","Intermediate"
"140040-15",140040,0,0,"Migrant","Migrant"
"140060-15",140060,0.202948982023999,0.00732253936428673,"Intermediate","Resident"
"140070-15",140070,0.488215502017051,0.167561556316697,"Resident","Resident"
"140290-15",140290,0.211046343489321,0.0371505373061335,"Intermediate","Resident"
"140300-15",140300,0,0,"Migrant","Migrant"
"140320-15",140320,0.0143990455264874,0,"Intermediate","Intermediate"
"140340-15",140340,0,0,"Migrant","Migrant"
"140400-15",140400,0.272094581372428,0,"Resident","Intermediate"
"140600-15",140600,0.162934610388645,0,"Resident","Intermediate"
"140630-15",140630,0.342377787417277,0.181378160245829,"Resident","Resident"
"140650-15",140650,0.346283530132296,0.062658849825675,"Resident","Resident"
"140680-15",140680,0.0179146904710399,0,"Intermediate","Intermediate"
"140710-15",140710,0.288662667133619,0,"Resident","Intermediate"
"140800-15",140800,0,0,"Switch","Migrant"
"140850-15",140850,0.06188578981613,0,"Migrant","Intermediate"
"140890-15",140890,0.158032359593138,0,"Intermediate","Intermediate"
"140960-15",140960,0.263348003918714,0,"Resident","Intermediate"
"140980-15",140980,0,0,"Intermediate","Migrant"
"141010-15",141010,0.0541413197242569,0,"Intermediate","Intermediate"
"141060-15",141060,0.195791817591292,0.00703139511123541,"Resident","Resident"
"141070-15",141070,0.217148506907279,0,"Resident","Intermediate"
"141080-15",141080,0.385139341313055,0.0332108276337883,"Resident","Resident"
"141100-15",141100,0.254680515429709,0,"Resident","Intermediate"
"141120-15",141120,0,0,"Migrant","Migrant"
"141130-15",141130,0.169334893372851,0,"Resident","Intermediate"
"141150-15",141150,0,0,"Migrant","Migrant"
"140940-15",140940,0.217646466394734,0,"Resident","Intermediate"
"140910-15",140910,0.0194244227121516,0,"Intermediate","Intermediate"
"140050-15",140050,0.29480159718505,0.128695912545363,"Intermediate","Resident"
"150360-15",150360,0,0,"Migrant","Migrant"
"140380-15",140380,0.614991951171369,0.195940285428344,"Resident","Resident"
"140480-15",140480,0.421525911597712,0.0570603338913298,"Resident","Resident"
"150920-15",150920,0.266005283927886,0.019599612419242,"Migrant","Resident"
