"PHR","IndivYr"
0.524288642397205,"141210-14"
0.00633178277075553,"141170-14"
0,"141570-14"
0,"141300-14"
0.0790841044322505,"141110-14"
2.24768282111013e-06,"141290-14"
0.00375730852189185,"141630-14"
0.00301550368264553,"141200-14"
0.042826715493158,"141220-14"
0.0098065430039364,"140360-14"
0,"141500-14"
0,"141580-14"
0.292206837268261,"140920-14"
0,"141380-14"
0,"141400-14"
0.611951398309255,"140900-14"
0.915076861795524,"141090-14"
0,"141180-14"
0.595858800558,"140100-14"
0,"141340-14"
0,"141470-14"
0,"141160-14"
0.00488139280119133,"141520-14"
0.0374859666119546,"141610-14"
0.100182232059209,"141000-14"
0.0301723144709798,"140120-14"
0.048506317217913,"140040-14"
0.160051521561274,"140060-14"
0.921067019167679,"140070-14"
9.9290995834852e-07,"140290-14"
0,"140300-14"
0.0180858170184773,"140320-14"
0,"140340-14"
0.0104109373123575,"140400-14"
0,"140560-14"
0.241805323199261,"140600-14"
0.310983071151367,"140630-14"
0.912516546478291,"140650-14"
0.0668675621479168,"140680-14"
0.0353429837162364,"140710-14"
0,"140800-14"
0,"140850-14"
0.101687491688689,"140890-14"
0.478949458780296,"140940-14"
0.416904792246881,"140960-14"
0.0296764234342456,"140980-14"
0.00995806543538067,"141010-14"
0.273382532953225,"141060-14"
0.39640795397425,"141070-14"
0.145542054467643,"141080-14"
0.0427851451397291,"141100-14"
0,"141120-14"
0.0231561600144762,"141130-14"
6.91979637519064e-05,"141150-14"
0.00880119568907209,"141260-14"
0.724890874624329,"141490-14"
0.999876890185835,"141560-14"
0.284753357218367,"140050-14"
0.821272335182655,"140380-14"
0.512380480816459,"140480-14"
0.00430042390641287,"140910-14"
0,"141180-15"
0.205669561522294,"140100-15"
0.0169835198461483,"151580-15"
0,"141340-15"
0.00556211167821016,"151220-15"
0.00466907638200236,"141470-15"
0.320114470472453,"151170-15"
0,"141160-15"
0,"151380-15"
0.290094724185622,"151300-15"
0,"141520-15"
0.540755092780475,"151110-15"
0.122216229976424,"141610-15"
0.0218799953581715,"141000-15"
0,"140120-15"
0,"140560-15"
0.729172639905945,"141490-15"
0,"140040-15"
0.452794809661612,"140060-15"
0.768452636270418,"140070-15"
0.857945122599731,"140290-15"
0,"140300-15"
0.492771585409202,"140320-15"
0,"140340-15"
0.420634196649252,"140400-15"
0.655725308511314,"140600-15"
0.490470751545637,"140630-15"
0.494321212765591,"140650-15"
0.0274253106786805,"140680-15"
0.309127152174091,"140710-15"
0,"140800-15"
1.27397085405171e-06,"140850-15"
0.633097769254429,"140890-15"
0.374056898435972,"140960-15"
0,"140980-15"
0,"141010-15"
0.368483610192094,"141060-15"
0.68017094624352,"141070-15"
0.387030470648867,"141080-15"
0.380677340181256,"141100-15"
0,"141120-15"
0.449397590349824,"141130-15"
0,"141150-15"
0.0135316774686799,"141260-15"
0.019027604914454,"141560-15"
0.630854997275014,"140940-15"
0.00386991644029928,"140910-15"
0.515966690028613,"140050-15"
0.0161065077001389,"150360-15"
0.811683969745447,"140380-15"
0.621414028796579,"140480-15"
0.0442215032874971,"150920-15"
0.00168770748576265,"151200-15"
0,"151570-15"
