"AnimalID","SprVI50","IndivYr","Sex"
141110,0.0657259783525789,"141110-14","Female"
140360,0.0897192525029578,"140360-14","Female"
140920,0.409358304802576,"140920-14","Female"
140900,0.126603516457784,"140900-14","Female"
141090,0.692392867491049,"141090-14","Female"
140100,0.37278114595948,"140100-14","Female"
141160,0,"141160-14","Female"
141000,1.91590596022318e-05,"141000-14","Female"
140120,0.0570694292047619,"140120-14","Female"
140040,0.0819593274387752,"140040-14","Female"
140060,0.0260916253278479,"140060-14","Female"
140070,0.715931384597055,"140070-14","Female"
140290,0.125535721796549,"140290-14","Female"
140300,0,"140300-14","Female"
140320,0.0397324063391202,"140320-14","Female"
140340,0,"140340-14","Female"
140400,0.292469197309705,"140400-14","Female"
140560,0,"140560-14","Female"
140600,0.050504562283976,"140600-14","Female"
140630,0.242862613642137,"140630-14","Female"
140650,0.670079041079553,"140650-14","Female"
140680,0.045581073399969,"140680-14","Female"
140710,0.258627149429759,"140710-14","Female"
140800,0,"140800-14","Female"
140850,5.70022527699047e-09,"140850-14","Female"
140890,0.0497595112519999,"140890-14","Female"
140940,0.309449632846076,"140940-14","Female"
140960,0.28446994747169,"140960-14","Female"
140980,0.0583862479388889,"140980-14","Female"
141010,0.0311013531855434,"141010-14","Female"
141060,0.297498922654773,"141060-14","Female"
141070,0.0836385020011336,"141070-14","Female"
141080,0.262493934910561,"141080-14","Female"
141100,0.346499225344249,"141100-14","Female"
141120,0,"141120-14","Female"
141130,0.0233503707038541,"141130-14","Female"
141150,0.009596240484032,"141150-14","Female"
141490,0.127814712078077,"141490-14","Female"
140050,0.239997963404363,"140050-14","Female"
140380,0.588445301631144,"140380-14","Female"
140480,0.436698140719219,"140480-14","Female"
140910,0.00642137491677628,"140910-14","Female"
140100,0.102984955146462,"140100-15","Female"
141160,0,"141160-15","Female"
151110,0.3974704056783,"151110-15","Female"
141000,0.0403595954034676,"141000-15","Female"
140120,0,"140120-15","Female"
140560,0.135527111569027,"140560-15","Female"
141490,0.194852009770605,"141490-15","Female"
140040,0,"140040-15","Female"
140060,0.25435668207345,"140060-15","Female"
140070,0.534563640784868,"140070-15","Female"
140290,0.252630419500963,"140290-15","Female"
140300,0,"140300-15","Female"
140320,0.0219975707059109,"140320-15","Female"
140340,1.48550636444866e-08,"140340-15","Female"
140400,0.326335774652776,"140400-15","Female"
140600,0.202873545147451,"140600-15","Female"
140630,0.376272580756101,"140630-15","Female"
140650,0.394190636488959,"140650-15","Female"
140680,0.0323501129439253,"140680-15","Female"
140710,0.341442635071955,"140710-15","Female"
140800,0,"140800-15","Female"
140850,0.111912901971912,"140850-15","Female"
140890,0.201143959674223,"140890-15","Female"
140960,0.317271208468076,"140960-15","Female"
140980,8.6784302137166e-05,"140980-15","Female"
141010,0.0811541172086573,"141010-15","Female"
141060,0.249678546845083,"141060-15","Female"
141070,0.259214555739108,"141070-15","Female"
141080,0.434192278415295,"141080-15","Female"
141100,0.309029459103598,"141100-15","Female"
141120,0,"141120-15","Female"
141130,0.200707137900921,"141130-15","Female"
141150,0,"141150-15","Female"
140940,0.260257102618584,"140940-15","Female"
140910,0.0458018792503813,"140910-15","Female"
140050,0.324892044837853,"140050-15","Female"
150360,0.00806807618943972,"150360-15","Female"
140380,0.657127399843588,"140380-15","Female"
140480,0.473548364463789,"140480-15","Female"
150920,0.304711932309693,"150920-15","Female"
